frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,_ws.col.protocol
"1766041607.869208683",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869209710",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869210933",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869212050",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.869217715",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.876674605",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.887579325",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.887582536",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.887586766",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.940010137",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TLSv1.2"
"1766041607.940138413",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.940012352",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TLSv1.2"
"1766041607.940188789",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.940020604",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TLSv1.2"
"1766041607.940210388",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TCP"
"1766041607.945556601",,,"2603:8000:6900:600::70","2a06:98c1:3100::6812:202f","38522","443",,,"TLSv1.2"
"1766041607.954241022",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TCP"
"1766041607.958559660",,,"2a06:98c1:3100::6812:202f","2603:8000:6900:600::70","443","38522",,,"TLSv1.2"
